frame,timestamp_ms,divergence,lr_balance,tau,vx_mean,vy_mean,flow_cnt,div_cnt,valid,ema_div,ema_lr,tau_ms,looming,evasion_level,turn_cmd,az_quiet,ax,ay,az,gx,gy,gz,roll,pitch,yaw
61,1654,-0.00333,-0.00556,1000000,-2.0882,-0.2059,34,25,1,0.01042,-0.00717,458.12,0,0,0.0215,1,0.019,-0.4404,-1.3662,83.008,-109.497,5.493,-160.966,-2.01,83.249
62,1682,-0.00333,-0.00556,1000000,-2.0882,-0.2059,34,25,1,0.01042,-0.00717,458.12,0,0,0.0215,0,-0.0908,-0.3008,-0.4253,71.838,-28.809,25.574,-158.95,2.911,82.776
63,1710,-0.00333,-0.00556,1000000,-2.0882,-0.2059,34,25,1,0.01042,-0.00717,458.12,0,0,0.0215,0,-0.0576,-0.4351,-0.9707,-2.319,33.875,-4.944,-160.329,0.286,82.43
64,1738,-0.00926,-0.02917,1000000,-2.9429,3.3143,35,27,1,0.00992,-0.01377,0,0,0,0.0413,1,-0.0576,-0.4351,-0.9707,-2.319,33.875,-4.944,-160.329,0.286,82.43
65,1766,0.01235,0.02222,81.00001,1.0882,1.1765,34,27,1,0.01605,-0.00297,57.598,0,0,0.0089,1,-0.0576,-0.4351,-0.9707,-2.319,33.875,-4.944,-160.329,0.286,82.43
66,1794,-0.00556,-0.00926,1000000,0.9444,0.8333,36,30,1,0.01497,-0.00486,0,0,0,0.0146,1,0.0337,-0.3208,-1.1421,24.658,-25.818,-4.211,-161.521,-0.341,82.831
67,1822,-0.00556,-0.00926,1000000,0.9444,0.8333,36,30,1,0.01497,-0.00486,0,0,0,0.0146,0,0.0942,-0.2695,-1.3042,178.711,-127.686,8.179,-159.736,0.879,83.167
68,2186,-0.00556,-0.00926,1000000,0.9444,0.8333,36,30,1,0.01497,-0.00486,0,0,0,0.0146,0,-0.1177,-0.2939,-0.4717,77.759,-48.828,3.723,-157.577,2.313,83.677
69,2410,-0.00556,-0.00926,1000000,0.9444,0.8333,36,30,1,0.01497,-0.00486,0,0,0,0.0146,0,-0.0815,-0.5366,-1.0293,19.714,-19.653,-4.883,-156.154,3.203,83.985
70,2718,0,0,0,0,0,0,0,0,0.01497,-0.00486,0,0,0,0.0146,1,0.0371,-0.4526,-0.9473,59.631,-25.879,-30.823,-154.429,3.362,84.507
71,2887,0,0,0,0,0,0,0,0,0.01497,-0.00486,0,0,0,0.0146,1,0.1367,-0.5737,-1.0913,-16.296,-38.818,13.428,-153.721,3.867,85.1
72,2899,-0.09028,0.24167,1000000,1.85,1.2,20,12,1,-0.01121,0.0691,34.258,0,0,-0.2073,1,0.1367,-0.5737,-1.0913,-16.296,-38.818,13.428,-153.721,3.867,85.1
73,2915,0.04688,0.09242,21.33333,-0.6,-0.12,25,16,1,0.01162,0.0761,10.688,0,0,-0.2283,1,-0.2729,-0.5942,-0.6787,-108.887,146.362,-1.892,-155.731,3.362,84.803
74,2943,0.04688,0.09242,21.33333,-0.6,-0.12,25,16,1,0.01162,0.0761,10.688,0,0,-0.2283,0,-0.2729,-0.5942,-0.6787,-108.887,146.362,-1.892,-157.385,1.329,83.93
